StudentRef,Historical_GPA_mean,Historical_GPA_std,Historical_GPA_min,Historical_GPA_max,Historical_CGPA_mean,Historical_CGPA_std,Historical_CGPA_min,Historical_CGPA_max,Historical_CGPA_last,Historical_courses_taken,Historical_credits,Historical_A_pct,Historical_B_pct,Historical_C_pct,Historical_Fail_pct,GPA_Slope,Semesters_completed,Semester_to_predict,Final_CGPA,On_Probation,Gender,Nationality,Offer type,Financial_Aid_Need,Admission Year,International
ANON_001732,3.001176470588236,0.5093416113036001,2.13,3.75,2.770882352941176,0.2677670589541637,2.13,3.02,3.02,34,32.5,8.823529411764707,61.76470588235294,20.588235294117645,8.823529411764707,0.0352941176470594,2.0,3.0,2.82,0,F,Country0,Enrolled,Yes,2019-2020,0
ANON_000993,2.321891891891892,0.409456535733226,1.78,3.0,2.303513513513514,0.1414256030611191,2.09,2.49,2.35,37,34.5,0.0,37.83783783783784,40.54054054054054,21.62162162162162,0.0230882352941178,2.0,3.0,2.43,0,F,Country0,Enrolled,No,2019-2020,0
ANON_001804,3.2144117647058827,0.2845750811773485,2.63,3.67,3.0223529411764707,0.1584404834922854,2.63,3.17,3.17,34,32.5,23.52941176470588,58.82352941176471,14.705882352941178,2.941176470588235,0.1227083333333323,2.0,3.0,2.86,0,F,Country0,Enrolled,No,2019-2020,0
ANON_001018,3.220833333333333,0.224633356667117,2.89,3.5,3.3208333333333333,0.0903094518943021,3.25,3.5,3.25,24,22.0,8.333333333333332,79.16666666666666,12.5,0.0,0.3785714285714278,2.0,3.0,3.34,0,M,Country9,Enrolled,No,2022-2023,1
ANON_001319,3.493913043478261,0.1958138989039149,3.25,3.7,3.388260869565218,0.1219035451014464,3.25,3.54,3.54,23,22.0,30.434782608695656,65.21739130434783,4.3478260869565215,0.0,-0.0392063492063485,2.0,3.0,3.44,0,F,Country0,Enrolled,Yes,2022-2023,0
ANON_002053,2.25,0.0,2.25,2.25,2.25,0.0,2.25,2.25,2.25,4,4.0,0.0,0.0,100.0,0.0,0.5624999999999998,2.0,3.0,2.12,0,F,Country4,Enrolled,No,2024-2025,1
ANON_000834,3.2070833333333333,0.0884395724266829,3.11,3.33,3.1966666666666668,0.0350982059081517,3.13,3.24,3.2,24,22.0,8.333333333333332,79.16666666666666,12.5,0.0,-0.1678571428571436,2.0,3.0,3.19,0,M,Country0,Enrolled,No,2022-2023,0
ANON_001730,2.832432432432432,0.3185244226237727,2.25,3.14,2.865675675675675,0.1509514370131544,2.5,3.02,2.96,37,35.0,16.216216216216218,40.54054054054054,37.83783783783784,5.405405405405405,-0.1456764705882351,2.0,3.0,3.0,0,F,Country0,Enrolled,No,2018-2019,0
ANON_000303,3.0160000000000005,0.227628506215951,2.88,3.4,3.0055,0.0733036223704639,2.88,3.08,3.08,20,18.0,5.0,60.0,30.0,5.0,1.508000000000001,1.0,2.0,3.1,0,F,Country0,Enrolled,No,2019-2020,0
ANON_001033,3.738750000000001,0.1905975323944113,3.39,4.0,3.8071875,0.0569229459374121,3.72,3.88,3.76,32,30.0,62.5,34.375,3.125,0.0,-0.2168253968253967,2.0,3.0,3.75,0,F,Country18,Enrolled,No,2021-2022,1
ANON_001323,3.8968,0.1476685477683044,3.63,4.0,3.794000000000001,0.0988685996664259,3.63,3.89,3.89,25,23.0,84.0,16.0,0.0,0.0,-0.0057142857142864,2.0,3.0,3.84,0,M,Country3,Enrolled,Yes,2022-2023,1
ANON_000632,2.55,0.1858570879543127,2.22,2.78,2.5919444444444446,0.100678255403593,2.48,2.76,2.51,36,33.0,11.11111111111111,22.22222222222222,58.333333333333336,8.333333333333332,-0.0112499999999999,2.0,3.0,2.49,0,M,Country0,Failed,No,2021-2022,0
ANON_000218,2.813142857142857,0.4528587068869951,1.88,3.5,2.7362857142857138,0.3235200304216628,1.88,3.02,3.02,35,33.5,8.571428571428571,57.14285714285714,22.857142857142858,11.428571428571429,0.2497385620915035,2.0,3.0,2.77,0,F,Country0,Enrolled,Yes,2018-2019,0
ANON_000715,3.2192857142857148,0.5695404934035628,2.38,3.72,2.83,0.3107063912095494,2.38,3.12,3.12,14,13.0,21.428571428571427,42.85714285714285,35.714285714285715,0.0,-0.2655555555555551,2.0,3.0,2.41,0,F,Country0,Enrolled,No,2023-2024,0
ANON_001211,3.742857142857143,0.3234769893475618,3.25,3.94,3.575,0.2155047741752087,3.25,3.74,3.74,14,13.0,64.28571428571429,35.714285714285715,0.0,0.0,-0.3066666666666657,2.0,3.0,3.53,0,F,Country2,Failed,Yes,2023-2024,1
ANON_001842,3.51625,0.1300310136703126,3.33,3.72,3.5240625,0.0613745442135365,3.44,3.62,3.54,32,30.0,37.5,59.375,3.125,0.0,-0.2149206349206346,2.0,3.0,3.41,0,F,Country0,Enrolled,Yes,2021-2022,0
ANON_001202,3.0,0.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,4,4.0,25.0,50.0,25.0,0.0,0.7499999999999997,2.0,3.0,3.09,0,M,Country0,Enrolled,No,2024-2025,0
ANON_002090,3.670833333333333,0.1385614497698361,3.5,3.8,3.6020833333333333,0.053728720088225,3.5,3.66,3.66,24,23.0,45.83333333333333,50.0,4.166666666666666,0.0,-0.1528571428571437,2.0,3.0,3.59,0,F,Country0,Enrolled,Yes,2022-2023,0
ANON_001563,2.432142857142857,0.465918094014034,1.83,2.78,2.642857142857143,0.1569629339600997,2.44,2.76,2.44,14,13.0,7.142857142857142,28.57142857142857,35.714285714285715,28.57142857142857,-0.5411111111111103,2.0,3.0,2.07,0,M,Country0,Enrolled,No,2022-2023,0
ANON_000435,3.63,0.0,3.63,3.63,3.63,0.0,3.63,3.63,3.63,4,4.0,25.0,75.0,0.0,0.0,0.9075,2.0,3.0,3.65,0,M,Country0,Enrolled,Yes,2024-2025,0
ANON_000324,2.9319354838709675,0.3740803777696153,2.5,3.44,3.181290322580645,0.2093122378248003,2.92,3.44,3.02,31,29.5,9.67741935483871,54.83870967741935,29.03225806451613,6.451612903225806,0.0523504273504269,2.0,3.0,2.93,0,M,Country0,Enrolled,No,2020-2021,0
ANON_002026,1.807272727272728,0.5356187505002471,1.17,2.67,2.075,0.2800637682487943,1.63,2.47,2.06,22,21.0,0.0,18.181818181818183,31.818181818181817,50.0,-0.8658119658119667,2.0,3.0,2.02,0,F,Country2,Enrolled,Yes,2022-2023,1
ANON_001173,3.8625,0.1590035938497708,3.55,4.0,3.8997222222222216,0.0707303172464098,3.84,4.0,3.85,36,33.0,83.33333333333334,13.88888888888889,2.7777777777777777,0.0,0.0562499999999998,2.0,3.0,3.81,0,M,Country0,Enrolled,Yes,2021-2022,0
ANON_000247,3.232083333333333,0.1977477349217094,3.06,3.63,3.38625,0.1250326044434532,3.28,3.63,3.28,24,22.5,12.5,70.83333333333334,16.666666666666664,0.0,0.0121428571428564,2.0,3.0,3.36,0,F,Country0,Enrolled,No,2022-2023,0
ANON_000859,2.75,0.0,2.75,2.75,2.75,0.0,2.75,2.75,2.75,4,4.0,0.0,75.0,25.0,0.0,0.6874999999999998,2.0,3.0,1.29,1,M,Country0,Enrolled,No,2024-2025,0
ANON_000856,2.6366666666666663,0.1986262343004592,2.39,2.88,2.6826666666666665,0.1234889622983519,2.6,2.88,2.62,15,14.0,0.0,46.66666666666666,46.66666666666666,6.666666666666667,0.3699999999999995,2.0,3.0,2.71,0,F,Country0,Enrolled,No,2023-2024,0
ANON_001225,2.3279166666666664,0.635212933601397,1.83,3.63,2.7654166666666664,0.4710485912963957,2.34,3.63,2.69,24,22.0,8.333333333333332,16.666666666666664,58.333333333333336,16.666666666666664,0.2792857142857142,2.0,3.0,2.37,0,M,Country27,Enrolled,Yes,2022-2023,1
ANON_000495,3.9132,0.1135678945242301,3.73,4.0,3.9312,0.0428485705712571,3.88,4.0,3.9,25,23.5,88.0,12.0,0.0,0.0,0.1972727272727272,2.0,3.0,3.93,0,F,Country9,Enrolled,Yes,2022-2023,1
ANON_002233,3.295217391304348,0.1794402803978221,3.0,3.5,3.1686956521739136,0.086355730863472,3.0,3.26,3.26,23,22.0,13.043478260869565,73.91304347826086,13.043478260869565,0.0,-0.1429365079365074,2.0,3.0,3.15,0,F,Country0,Enrolled,Yes,2022-2023,0
ANON_000282,2.786451612903225,0.3551389248082762,2.22,3.38,2.7212903225806446,0.0937280440239693,2.56,2.88,2.8,31,29.5,3.225806451612903,61.29032258064516,29.03225806451613,6.451612903225806,-0.0924369747899152,2.0,3.0,2.66,0,F,Country0,Enrolled,No,2021-2022,0
ANON_002154,3.7442857142857138,0.325542856257827,3.13,4.0,3.9191428571428575,0.1055342550624992,3.75,4.0,3.75,35,33.5,74.28571428571429,17.142857142857142,8.571428571428571,0.0,0.0151960784313731,2.0,3.0,4.0,0,F,Country3,Enrolled,Yes,2018-2019,1
ANON_001580,3.107058823529412,0.0937926373631182,3.0,3.25,3.011764705882353,0.0453093939097687,2.96,3.08,3.02,17,16.5,11.76470588235294,76.47058823529412,11.76470588235294,0.0,1.553529411764706,1.0,2.0,3.1,0,M,Country3,Withdrawn,No,2018-2019,1
ANON_000552,3.8566666666666665,0.0667261639267607,3.75,3.9,3.7806666666666673,0.0260402618668714,3.75,3.81,3.81,15,13.5,73.33333333333333,26.666666666666668,0.0,0.0,-0.050000000000001,2.0,3.0,3.71,0,M,Country0,Enrolled,Yes,2023-2024,0
ANON_000111,2.9770967741935483,0.273705359202033,2.39,3.25,2.9406451612903224,0.0740691336464776,2.81,3.03,2.91,31,29.5,12.903225806451612,54.83870967741935,25.806451612903224,6.451612903225806,-0.2805555555555559,2.0,3.0,3.04,0,F,Country0,Enrolled,Yes,2020-2021,0
ANON_000929,2.778125,0.344387605149554,2.22,3.25,2.599375,0.1904652622633121,2.33,2.83,2.73,32,30.5,9.375,50.0,34.375,6.25,0.0020242914979754,2.0,3.0,2.86,0,M,Country0,Enrolled,Yes,2020-2021,0
ANON_000251,3.522857142857144,0.4328159774426891,2.88,3.89,3.2657142857142865,0.2555751969943119,2.88,3.46,3.46,14,13.0,50.0,35.714285714285715,14.285714285714285,0.0,-0.5711111111111113,2.0,3.0,3.12,0,F,Country0,Enrolled,Yes,2023-2024,0
ANON_001134,2.63,0.0,2.63,2.63,2.63,0.0,2.63,2.63,2.63,4,4.0,0.0,75.0,0.0,25.0,0.6574999999999998,2.0,3.0,2.63,0,F,Country0,Enrolled,Yes,2024-2025,0
ANON_001382,2.93,0.3678419392996022,2.5,3.38,3.037142857142858,0.2310986659558929,2.84,3.38,2.84,14,13.0,0.0,71.42857142857143,28.57142857142857,0.0,-0.108888888888889,2.0,3.0,2.94,0,F,Country0,Enrolled,Yes,2023-2024,0
ANON_000605,3.107142857142857,0.264616662404275,2.75,3.39,2.882142857142857,0.1037881400834316,2.75,3.0,3.0,14,13.0,7.142857142857142,64.28571428571429,28.57142857142857,0.0,-0.0044444444444439,2.0,3.0,2.74,0,F,Country9,Failed,Yes,2023-2024,1
ANON_001286,3.5960000000000014,0.1636110370010881,3.38,3.77,3.561333333333334,0.1153173674608263,3.38,3.65,3.65,15,14.0,53.333333333333336,40.0,6.666666666666667,0.0,0.0539999999999991,2.0,3.0,3.62,0,M,Country0,Enrolled,Yes,2023-2024,0
ANON_000096,2.63,0.0,2.63,2.63,2.63,0.0,2.63,2.63,2.63,4,4.0,0.0,50.0,50.0,0.0,0.6574999999999998,2.0,3.0,2.59,0,M,Country3,Enrolled,No,2024-2025,1
ANON_000507,3.2683870967741933,0.3059531203108688,3.0,3.86,3.414516129032258,0.1490824986302868,3.25,3.64,3.61,31,29.5,12.903225806451612,70.96774193548387,16.129032258064516,0.0,-0.1286324786324792,2.0,3.0,3.23,0,M,Country0,Enrolled,No,2020-2021,0
ANON_000962,1.6299999999999997,2.482534153247273e-16,1.63,1.63,1.6299999999999997,2.482534153247273e-16,1.63,1.63,1.63,5,4.0,0.0,20.0,20.0,60.0,0.4075,2.0,3.0,1.77,1,M,Country0,Enrolled,No,2024-2025,0
ANON_001113,3.14875,0.3210758071126559,2.72,3.61,3.0195833333333333,0.1818857540772006,2.79,3.22,3.22,24,22.5,12.5,58.333333333333336,29.166666666666668,0.0,-0.0278571428571433,2.0,3.0,3.13,0,F,Country0,Enrolled,No,2022-2023,0
ANON_000817,3.427777777777778,0.1012019271820427,3.25,3.5,3.396666666666666,0.082675837568464,3.25,3.46,3.44,18,17.5,44.44444444444444,44.44444444444444,11.11111111111111,0.0,1.713888888888888,1.0,2.0,3.46,0,F,Country0,Enrolled,Yes,2018-2019,0
ANON_000056,3.262692307692308,0.1612093717451362,3.17,3.63,3.3957692307692304,0.1143738808268068,3.3,3.63,3.35,26,24.5,23.07692307692308,65.38461538461539,11.538461538461538,0.0,0.1039393939393936,2.0,3.0,3.35,0,M,Country0,Enrolled,No,2022-2023,0
ANON_001546,2.4122580645161285,0.6209922687517633,1.56,3.38,2.829032258064516,0.336871437779159,2.47,3.38,2.94,31,29.0,3.225806451612903,41.935483870967744,35.483870967741936,19.35483870967742,0.0820512820512815,2.0,3.0,2.49,0,M,Country0,Failed,Yes,2021-2022,0
ANON_002163,2.009090909090909,0.4054346713433284,1.44,2.5,1.8472727272727276,0.2341510293495515,1.5,2.1,2.1,33,31.5,0.0,21.21212121212121,39.39393939393939,39.39393939393939,0.1206617647058825,2.0,3.0,1.85,1,M,Country0,Withdrawn,No,2018-2019,0
ANON_001982,1.75,0.0,1.75,1.75,1.75,0.0,1.75,1.75,1.75,4,4.0,0.0,25.0,25.0,50.0,0.4374999999999997,2.0,3.0,2.53,0,F,Country26,Enrolled,Yes,2024-2025,1
ANON_000736,2.46925,0.6162391622805266,1.69,3.4,2.22925,0.2066756098147715,2.0,2.59,2.59,40,37.0,2.5,37.5,40.0,20.0,0.2914999999999994,2.0,3.0,2.28,0,F,Country0,Enrolled,No,2019-2020,0
ANON_000367,2.788378378378378,0.5558802504612417,1.83,3.38,2.601621621621621,0.4301583268823076,1.91,3.0,1.91,37,34.5,13.513513513513514,48.64864864864865,24.324324324324326,13.513513513513514,-0.0541470588235294,2.0,3.0,2.86,0,M,Country0,Enrolled,Yes,2018-2019,0
ANON_000368,3.2764516129032253,0.2204472482189601,3.0,3.75,3.2403225806451603,0.0609088866514425,3.17,3.38,3.25,31,29.5,25.806451612903224,58.06451612903226,16.129032258064516,0.0,-0.1731932773109239,2.0,3.0,3.18,0,F,Country0,Enrolled,No,2021-2022,0
ANON_000643,3.965714285714287,0.0562568677126195,3.88,4.0,3.9407142857142863,0.0400891862868637,3.88,3.97,3.97,14,13.0,92.85714285714286,7.142857142857142,0.0,0.0,-0.0533333333333338,2.0,3.0,3.94,0,M,Country3,Enrolled,Yes,2023-2024,1
ANON_001210,3.097419354838709,0.3781266784375794,2.56,3.88,2.9787096774193547,0.0981407810404308,2.83,3.13,2.99,31,29.5,19.35483870967742,51.61290322580645,25.806451612903224,3.225806451612903,-0.431025641025641,2.0,3.0,3.16,0,F,Country0,Enrolled,No,2020-2021,0
ANON_000544,3.164666666666668,0.1734880262095781,3.0,3.39,3.2260000000000004,0.0718927773046182,3.13,3.31,3.22,15,14.0,6.666666666666667,86.66666666666667,6.666666666666667,0.0,-0.3380000000000009,2.0,3.0,3.26,0,F,Country0,Enrolled,No,2023-2024,0
ANON_000838,2.677058823529412,0.5679496852008865,1.5,3.17,2.6158823529411763,0.2519513859681379,2.33,3.17,2.5,34,32.0,2.941176470588235,61.76470588235294,23.52941176470588,11.76470588235294,0.4957894736842113,2.0,3.0,2.66,0,M,Country0,Enrolled,No,2020-2021,0
ANON_000231,3.443478260869565,0.1227565475258827,3.3,3.61,3.4356521739130432,0.1045260335973998,3.3,3.56,3.33,23,22.0,21.73913043478261,73.91304347826086,4.3478260869565215,0.0,-0.0203846153846157,2.0,3.0,3.5,0,F,Country18,Enrolled,No,2022-2023,1
ANON_001047,2.6688571428571426,0.3712995574257231,2.13,3.0,2.620285714285714,0.1562141387418473,2.25,2.78,2.74,35,33.5,8.571428571428571,42.85714285714285,37.142857142857146,11.428571428571429,0.1521895424836604,2.0,3.0,2.61,0,F,Country0,Enrolled,Yes,2019-2020,0
ANON_001789,3.490967741935484,0.3246573048483552,2.94,4.0,3.4580645161290327,0.0893837925218626,3.36,3.59,3.53,31,29.5,45.16129032258064,45.16129032258064,9.67741935483871,0.0,-0.2769747899159661,2.0,3.0,3.42,0,F,Country0,Enrolled,Yes,2021-2022,0
ANON_000812,3.2594444444444446,0.2776470934418943,2.83,3.5,3.2694444444444444,0.1336576936991182,3.15,3.5,3.26,18,17.5,16.666666666666664,66.66666666666666,16.666666666666664,0.0,1.6297222222222216,1.0,2.0,3.22,0,M,Country0,Enrolled,Yes,2019-2020,0
ANON_001670,2.38,0.0,2.38,2.38,2.38,0.0,2.38,2.38,2.38,4,4.0,0.0,50.0,0.0,50.0,0.5949999999999998,2.0,3.0,2.57,0,F,Country0,Failed,No,2024-2025,0
ANON_001576,3.489583333333333,0.0879465829312052,3.33,3.56,3.5270833333333336,0.0130147630777903,3.5,3.54,3.53,24,22.0,37.5,54.16666666666666,8.333333333333332,0.0,0.0764285714285707,2.0,3.0,3.59,0,M,Country0,Enrolled,No,2022-2023,0
ANON_001133,3.636000000000001,0.3013256425482949,3.25,4.0,3.560666666666666,0.1943658798197236,3.25,3.69,3.66,15,14.0,46.66666666666666,53.333333333333336,0.0,0.0,-0.5460000000000005,2.0,3.0,3.53,0,M,Country21,Enrolled,Yes,2023-2024,1
ANON_000100,2.533529411764706,0.2320512267496276,2.2,2.88,2.4573529411764707,0.0752494366647357,2.36,2.54,2.53,34,32.5,2.941176470588235,26.47058823529412,58.82352941176471,11.76470588235294,0.1255555555555548,2.0,3.0,2.57,0,M,Country0,Enrolled,No,2018-2019,0
ANON_000494,3.4647058823529413,0.3354168396607209,3.0,4.0,3.5579411764705884,0.2494208979089873,3.0,3.81,3.6,34,32.0,41.17647058823529,47.05882352941176,8.823529411764707,2.941176470588235,-0.3614035087719288,2.0,3.0,3.57,0,M,Country0,Enrolled,Yes,2020-2021,0
ANON_002140,3.583529411764706,0.1170310073633991,3.38,3.75,3.498529411764706,0.0715682489673287,3.38,3.6,3.6,34,32.5,38.23529411764706,58.82352941176471,2.941176470588235,0.0,-0.0199999999999992,2.0,3.0,3.56,0,F,Country0,Enrolled,Yes,2019-2020,0
ANON_001040,1.8678571428571429,0.4083772496380987,1.25,2.17,1.7999999999999996,0.3626823148961933,1.25,2.06,1.25,14,13.0,0.0,14.285714285714285,35.714285714285715,50.0,-0.4700000000000001,2.0,3.0,1.92,1,M,Country3,Failed,Yes,2023-2024,1
ANON_001368,3.2713513513513512,0.2944784670694405,2.72,3.75,3.1664864864864866,0.1437825560470511,2.91,3.33,3.33,37,34.5,27.027027027027028,56.75675675675676,13.513513513513514,2.702702702702702,-0.0741812865497058,2.0,3.0,2.97,0,F,Country0,Enrolled,Yes,2018-2019,0
ANON_001320,3.006875,0.4549047223887798,2.0,3.5,3.1525,0.1342602191701357,2.93,3.33,3.1,32,30.5,18.75,50.0,21.875,9.375,0.2661904761904765,2.0,3.0,2.96,0,M,Country0,Enrolled,Yes,2020-2021,0
ANON_000613,1.705,0.4517117203049635,1.17,2.31,2.0570833333333334,0.1111003919950298,1.88,2.18,1.88,24,21.5,0.0,25.0,20.833333333333336,54.16666666666666,-0.4885714285714289,2.0,3.0,1.82,1,M,Country0,Enrolled,No,2021-2022,0
ANON_000070,3.0820833333333337,0.3901168071083401,2.44,3.5,2.921666666666667,0.1741230615964185,2.65,3.13,3.13,24,22.0,12.5,66.66666666666666,16.666666666666664,4.166666666666666,0.4321428571428573,2.0,3.0,3.01,0,F,Country1,Failed,Yes,2022-2023,1
ANON_001411,3.089032258064516,0.4075974716858915,2.38,3.5,3.1993548387096777,0.1578382185207577,3.02,3.44,3.44,31,29.5,25.806451612903224,45.16129032258064,25.806451612903224,3.225806451612903,-0.531581196581197,2.0,3.0,3.09,0,F,Country0,Enrolled,No,2020-2021,0
ANON_000478,2.457241379310345,0.7360264773562553,1.25,3.27,2.5972413793103444,0.3037844225260045,2.19,3.05,2.78,29,27.5,20.689655172413797,27.58620689655172,20.689655172413797,31.03448275862069,-0.1846153846153846,2.0,3.0,2.44,0,M,Country0,Enrolled,No,2020-2021,0
ANON_001340,3.88,0.0,3.88,3.88,3.88,0.0,3.88,3.88,3.88,4,4.0,75.0,25.0,0.0,0.0,0.97,2.0,3.0,3.65,0,M,Country0,Enrolled,Yes,2024-2025,0
ANON_000259,2.3070833333333334,0.305947980327811,1.94,2.78,2.32375,0.1443971726809804,2.12,2.49,2.12,24,22.0,0.0,29.166666666666668,50.0,20.833333333333336,0.1407142857142852,2.0,3.0,2.55,0,F,Country3,Enrolled,No,2022-2023,1
ANON_000402,3.189285714285714,0.1501006987999049,3.0,3.33,3.2035714285714283,0.0375411861738631,3.16,3.25,3.16,14,13.0,14.285714285714285,71.42857142857143,14.285714285714285,0.0,-0.2188888888888894,2.0,3.0,3.18,0,M,Country0,Enrolled,Yes,2023-2024,0
ANON_001064,3.5,0.0,3.5,3.5,3.5,0.0,3.5,3.5,3.5,4,4.0,25.0,75.0,0.0,0.0,0.8749999999999994,2.0,3.0,3.32,0,M,Country22,Failed,Yes,2024-2025,1
ANON_001738,3.775,0.1868257106338583,3.5,3.94,3.5892857142857144,0.0706523760517524,3.5,3.67,3.67,14,13.0,57.14285714285714,42.85714285714285,0.0,0.0,-0.0855555555555562,2.0,3.0,3.44,0,M,Country0,Enrolled,Yes,2023-2024,0
ANON_001858,1.9546666666666668,0.6306960212847136,0.5,2.5,2.087333333333333,0.2330448134103637,1.75,2.41,1.84,30,28.0,3.333333333333333,20.0,43.333333333333336,33.33333333333333,-0.3637104072398197,2.0,3.0,1.93,1,M,Country0,Enrolled,No,2021-2022,0
ANON_000409,2.7237500000000003,0.2432177857483861,2.38,3.06,2.6758333333333333,0.1615930655708335,2.38,2.86,2.79,24,22.5,0.0,45.83333333333333,54.16666666666666,0.0,-0.3792857142857149,2.0,3.0,2.81,0,F,Country0,Enrolled,Yes,2022-2023,0
ANON_001644,3.763157894736841,0.1711416772274087,3.61,4.0,3.878947368421053,0.0743785166744408,3.8,4.0,3.9,19,17.0,57.89473684210527,36.84210526315789,5.263157894736842,0.0,1.881578947368421,1.0,2.0,3.81,0,F,Country9,Enrolled,Yes,2018-2019,1
ANON_001983,3.25,0.0,3.25,3.25,3.25,0.0,3.25,3.25,3.25,4,4.0,25.0,50.0,25.0,0.0,0.8124999999999998,2.0,3.0,2.97,0,M,Country1,Enrolled,Yes,2024-2025,1
ANON_001272,3.384571428571428,0.221456978389282,3.17,3.88,3.282285714285714,0.0413084320039122,3.24,3.38,3.38,35,33.5,25.71428571428571,62.85714285714285,11.428571428571429,0.0,0.011176470588236,2.0,3.0,3.26,0,F,Country0,Enrolled,Yes,2019-2020,0
ANON_000585,2.778823529411764,0.2102778062307727,2.5,3.13,2.7291176470588234,0.0513081981197537,2.63,2.79,2.78,34,32.5,2.941176470588235,50.0,44.11764705882353,2.941176470588235,-0.2470588235294106,2.0,3.0,2.72,0,M,Country0,Enrolled,No,2019-2020,0
ANON_000029,3.3014285714285725,0.612408324603737,2.38,3.78,2.9121428571428574,0.353883478681213,2.38,3.19,3.19,14,13.0,35.714285714285715,35.714285714285715,28.57142857142857,0.0,-0.7444444444444438,2.0,3.0,2.68,0,F,Country0,Enrolled,Yes,2023-2024,0
